Season,Competition,Matchday,Date,Venue,Club,Opponent,Match_Result,Playing_Position,Type,Goal_assist,Total_Minutes_Match_Played,Ronaldo Team Goals,Opponent Team Goals
10/11,LaLiga,Early Rounds,05/07/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Pepe,30.0,2,06
10/11,LaLiga,Early Rounds,05/07/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Unknown,64.0,2,06
10/11,LaLiga,Early Rounds,05/07/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Mesut Ozil,70.0,2,06
10/11,LaLiga,Early Rounds,05/07/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Karim Benzema,76.0,2,06
10/11,LaLiga,Early Rounds,05/10/11,Home,Real Madrid,Getafe CF,4-00,LW,Header,Mesut Ozil,23.0,4,00
10/11,LaLiga,Early Rounds,05/10/11,Home,Real Madrid,Getafe CF,4-00,LW,Left-footed shot,Mesut Ozil,57.0,4,00
10/11,LaLiga,Early Rounds,05/10/11,Home,Real Madrid,Getafe CF,4-00,LW,Penalty,Unknown,91.0,4,00
10/11,LaLiga,Early Rounds,5/15/11,Away,Real Madrid,Villarreal CF,1-03,CF,Direct free kick,Unknown,22.0,1,03
10/11,LaLiga,Early Rounds,5/15/11,Away,Real Madrid,Villarreal CF,1-03,CF,Direct free kick,Unknown,90.0,1,03
10/11,LaLiga,Early Rounds,5/21/11,Home,Real Madrid,UD Almeria,8-01,LW,Right-footed shot,Sergio Ramos,4.0,8,01
10/11,LaLiga,Early Rounds,5/21/11,Home,Real Madrid,UD Almeria,8-01,LW,Right-footed shot,Sergio Ramos,76.0,8,01
11/12,Supercopa,Final,8/17/11,Away,Real Madrid,FC Barcelona,3-02,LW,Right-footed shot,Karim Benzema,20.0,3,02
11/12,LaLiga,Early Rounds,8/28/11,Away,Real Madrid,Real Zaragoza,0-06,LW,Left-footed shot,Mesut Ozil,23.0,0,06
11/12,LaLiga,Early Rounds,8/28/11,Away,Real Madrid,Real Zaragoza,0-06,LW,Right-footed shot,Angel Di Maria,70.0,0,06
11/12,LaLiga,Early Rounds,8/28/11,Away,Real Madrid,Real Zaragoza,0-06,LW,Right-footed shot,Kaka,86.0,0,06
11/12,LaLiga,Early Rounds,09/10/11,Home,Real Madrid,Getafe CF,4-02,LW,Penalty,Unknown,59.0,4,02
11/12,LaLiga,Early Rounds,9/24/11,Home,Real Madrid,Rayo Vallecano,6-02,LW,Left-footed shot,Kaka,39.0,6,02
11/12,LaLiga,Early Rounds,9/24/11,Home,Real Madrid,Rayo Vallecano,6-02,LW,Penalty,Unknown,51.0,6,02
11/12,LaLiga,Early Rounds,9/24/11,Home,Real Madrid,Rayo Vallecano,6-02,LW,Penalty,Unknown,84.0,6,02
11/12,UEFA Champions League,Group Stage,9/27/11,Home,Real Madrid,Ajax Amsterdam,3-00,LW,Right-footed shot,Karim Benzema,25.0,3,00
11/12,LaLiga,Early Rounds,10/22/11,Away,Real Madrid,Malaga CF,0-04,LW,Left-footed shot,Angel Di Maria,24.0,0,04
11/12,LaLiga,Early Rounds,10/22/11,Away,Real Madrid,Malaga CF,0-04,LW,Right-footed shot,Xabi Alonso,28.0,0,04
11/12,LaLiga,Early Rounds,10/22/11,Away,Real Madrid,Malaga CF,0-04,LW,Right-footed shot,Sergio Ramos,38.0,0,04
11/12,UEFA Champions League,Group Stage,11/02/11,Away,Real Madrid,Olympique Lyon,0-02,LW,Direct free kick,Unknown,25.0,0,02
11/12,UEFA Champions League,Group Stage,11/02/11,Away,Real Madrid,Olympique Lyon,0-02,LW,Penalty,Unknown,69.0,0,02
11/12,LaLiga,Early Rounds,11/06/11,Home,Real Madrid,CA Osasuna,7-01,LW,Header,Angel Di Maria,23.0,7,01
11/12,LaLiga,Early Rounds,11/06/11,Home,Real Madrid,CA Osasuna,7-01,LW,Penalty,Unknown,55.0,7,01
11/12,LaLiga,Early Rounds,11/06/11,Home,Real Madrid,CA Osasuna,7-01,LW,Header,alvaro Arbeloa,58.0,7,01
11/12,LaLiga,Early Rounds,11/19/11,Away,Real Madrid,Valencia CF,2-03,LW,Right-footed shot,Pepe,79.0,2,03
11/12,LaLiga,Early Rounds,11/26/11,Home,Real Madrid,Atletico de Madrid,4-01,LW,Penalty,Unknown,24.0,4,01
11/12,LaLiga,Early Rounds,11/26/11,Home,Real Madrid,Atletico de Madrid,4-01,LW,Penalty,Unknown,82.0,4,01
11/12,LaLiga,Early Rounds,12/03/11,Away,Real Madrid,Sporting GijÃ³n,0-03,LW,Right-footed shot,Angel Di Maria,65.0,0,03
11/12,Copa del Rey,Fourth Round,12/13/11,Away,Real Madrid,SD Ponferradina,0-02,LW,Left-footed shot,Gonzalo Higuain,74.0,0,02
11/12,LaLiga,Early Rounds,12/17/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Angel Di Maria,10.0,2,06
11/12,LaLiga,Early Rounds,12/17/11,Away,Real Madrid,Sevilla FC,2-06,LW,Right-footed shot,Karim Benzema,41.0,2,06
11/12,LaLiga,Early Rounds,12/17/11,Away,Real Madrid,Sevilla FC,2-06,LW,Penalty,Unknown,86.0,2,06
11/12,LaLiga,Early Rounds,01/07/12,Home,Real Madrid,Granada CF,5-01,LW,Right-footed shot,Unknown,89.0,5,01
11/12,Copa del Rey,Quarter-Finals,1/18/12,Home,Real Madrid,FC Barcelona,1-02,LW,Left-footed shot,Karim Benzema,11.0,1,02
11/12,LaLiga,Early Rounds,1/22/12,Home,Real Madrid,Athletic Bilbao,4-01,LW,Penalty,Unknown,46.0,4,01
11/12,LaLiga,Early Rounds,1/22/12,Home,Real Madrid,Athletic Bilbao,4-01,LW,Penalty,Unknown,67.0,4,01
11/12,Copa del Rey,Quarter-Finals,1/25/12,Away,Real Madrid,FC Barcelona,2-02,LW,Right-footed shot,Mesut Ozil,68.0,2,02
11/12,LaLiga,Early Rounds,1/28/12,Home,Real Madrid,Real Zaragoza,3-01,LW,Right-footed shot,Mesut Ozil,48.0,3,01
11/12,LaLiga,Early Rounds,02/12/12,Home,Real Madrid,Levante UD,4-02,LW,Penalty,Unknown,45.0,4,02
11/12,LaLiga,Early Rounds,02/12/12,Home,Real Madrid,Levante UD,4-02,LW,Header,Gonzalo Higuain,50.0,4,02
11/12,LaLiga,Early Rounds,02/12/12,Home,Real Madrid,Levante UD,4-02,LW,Right-footed shot,Fabio CoentrÃ£o,57.0,4,02
11/12,LaLiga,Early Rounds,2/18/12,Home,Real Madrid,Racing Santander,4-00,LW,Header,Kaka,6.0,4,00
11/12,UEFA Champions League,Last 16,2/21/12,Away,Real Madrid,CSKA Moscow,1-01,LW,Left-footed shot,Fabio CoentrÃ£o,28.0,1,01
11/12,LaLiga,Early Rounds,2/26/12,Away,Real Madrid,Rayo Vallecano,0-01,LW,Right-footed shot,Unknown,53.0,0,01
11/12,LaLiga,Early Rounds,03/04/12,Home,Real Madrid,RCD Espanyol Barcelona,5-00,LW,Left-footed shot,Gonzalo Higuain,23.0,5,00
11/12,LaLiga,Early Rounds,03/10/12,Away,Real Madrid,Real Betis Balompie,2-03,LW,Left-footed shot,Marcelo,52.0,2,03
11/12,LaLiga,Early Rounds,03/10/12,Away,Real Madrid,Real Betis Balompie,2-03,LW,Left-footed shot,Unknown,73.0,2,03
11/12,UEFA Champions League,Last 16,3/14/12,Home,Real Madrid,CSKA Moscow,4-01,LW,Right-footed shot,Sergio Ramos,55.0,4,01
11/12,UEFA Champions League,Last 16,3/14/12,Home,Real Madrid,CSKA Moscow,4-01,LW,Right-footed shot,Karim Benzema,94.0,4,01
11/12,LaLiga,Early Rounds,3/21/12,Away,Real Madrid,Villarreal CF,1-01,LW,Right-footed shot,Mesut Ozil,61.0,1,01
11/12,LaLiga,Early Rounds,3/24/12,Home,Real Madrid,Real Sociedad,5-01,LW,Right-footed shot,Kaka,32.0,5,01
11/12,LaLiga,Early Rounds,3/24/12,Home,Real Madrid,Real Sociedad,5-01,LW,Right-footed shot,Gonzalo Higuain,55.0,5,01
11/12,LaLiga,Early Rounds,3/31/12,Away,Real Madrid,CA Osasuna,1-05,LW,Long distance kick,Xabi Alonso,37.0,1,05
11/12,LaLiga,Early Rounds,3/31/12,Away,Real Madrid,CA Osasuna,1-05,LW,Direct free kick,Unknown,70.0,1,05
11/12,UEFA Champions League,Quarter-Finals,04/04/12,Home,Real Madrid,APOEL Nicosia,5-02,LW,Right-footed shot,Marcelo,26.0,5,02
11/12,UEFA Champions League,Quarter-Finals,04/04/12,Home,Real Madrid,APOEL Nicosia,5-02,LW,Direct free kick,Unknown,75.0,5,02
11/12,LaLiga,Early Rounds,04/11/12,Away,Real Madrid,Atletico de Madrid,1-04,LW,Direct free kick,Unknown,24.0,1,04
11/12,LaLiga,Early Rounds,04/11/12,Away,Real Madrid,Atletico de Madrid,1-04,LW,Long distance kick,Unknown,67.0,1,04
11/12,LaLiga,Early Rounds,04/11/12,Away,Real Madrid,Atletico de Madrid,1-04,LW,Penalty,Unknown,82.0,1,04
11/12,LaLiga,Early Rounds,4/14/12,Home,Real Madrid,Sporting GijÃ³n,3-01,LW,Header,Angel Di Maria,74.0,3,01
11/12,LaLiga,Early Rounds,4/21/12,Away,Real Madrid,FC Barcelona,1-02,LW,Right-footed shot,Mesut Ozil,73.0,1,02
11/12,UEFA Champions League,Semi-Finals,4/25/12,Home,Real Madrid,Bayern Munich,3-4 on pens,LW,Penalty,Unknown,6.0,3,4 on pens
11/12,UEFA Champions League,Semi-Finals,4/25/12,Home,Real Madrid,Bayern Munich,3-4 on pens,LW,Right-footed shot,Mesut Ozil,14.0,3,4 on pens
11/12,LaLiga,Early Rounds,4/29/12,Home,Real Madrid,Sevilla FC,3-00,LW,Right-footed shot,Karim Benzema,19.0,3,00
11/12,LaLiga,Early Rounds,05/02/12,Away,Real Madrid,Athletic Bilbao,0-03,LW,Header,Xabi Alonso,49.0,0,03
11/12,LaLiga,Early Rounds,05/05/12,Away,Real Madrid,Granada CF,1-02,LW,Penalty,Unknown,81.0,1,02
11/12,LaLiga,Early Rounds,5/13/12,Home,Real Madrid,RCD Mallorca,4-01,LW,Header,Marcelo,18.0,4,01
Dec-13,Supercopa,Final,8/23/12,Away,Real Madrid,FC Barcelona,3-02,LW,Header,Mesut Ozil,55.0,3,02
Dec-13,Supercopa,Final,8/29/12,Home,Real Madrid,FC Barcelona,2-01,LW,Right-footed shot,Sami Khedira,19.0,2,01
Dec-13,LaLiga,Early Rounds,09/02/12,Home,Real Madrid,Granada CF,3-00,LW,Right-footed shot,Jose CallejÃ³n,25.0,3,00
Dec-13,LaLiga,Early Rounds,09/02/12,Home,Real Madrid,Granada CF,3-00,LW,Left-footed shot,Unknown,53.0,3,00
Dec-13,UEFA Champions League,Group Stage,9/18/12,Home,Real Madrid,Manchester City,3-02,LW,Right-footed shot,Marcelo,90.0,3,02
Dec-13,LaLiga,Early Rounds,9/24/12,Away,Real Madrid,Rayo Vallecano,0-02,LW,Penalty,Unknown,69.0,0,02
Dec-13,LaLiga,Early Rounds,9/30/12,Home,Real Madrid,Deportivo de La CoruÃ±a,5-01,LW,Penalty,Unknown,23.0,5,01
Dec-13,LaLiga,Early Rounds,9/30/12,Home,Real Madrid,Deportivo de La CoruÃ±a,5-01,LW,Header,Sergio Ramos,44.0,5,01
Dec-13,LaLiga,Early Rounds,9/30/12,Home,Real Madrid,Deportivo de La CoruÃ±a,5-01,LW,Penalty,Unknown,84.0,5,01
Dec-13,UEFA Champions League,Group Stage,10/03/12,Away,Real Madrid,Ajax Amsterdam,1-04,LW,Right-footed shot,Karim Benzema,42.0,1,04
Dec-13,UEFA Champions League,Group Stage,10/03/12,Away,Real Madrid,Ajax Amsterdam,1-04,LW,Right-footed shot,Karim Benzema,79.0,1,04
Dec-13,UEFA Champions League,Group Stage,10/03/12,Away,Real Madrid,Ajax Amsterdam,1-04,LW,Left-footed shot,Sami Khedira,81.0,1,04
Dec-13,LaLiga,Early Rounds,10/07/12,Away,Real Madrid,FC Barcelona,2-02,LW,Left-footed shot,Karim Benzema,22.0,2,02
Dec-13,LaLiga,Early Rounds,10/07/12,Away,Real Madrid,FC Barcelona,2-02,LW,Right-footed shot,Mesut Ozil,66.0,2,02
Dec-13,LaLiga,Early Rounds,10/20/12,Home,Real Madrid,Celta de Vigo,2-00,LW,Penalty,Unknown,67.0,2,00
Dec-13,UEFA Champions League,Group Stage,10/24/12,Away,Real Madrid,Borussia Dortmund,2-01,LW,Right-footed shot,Mesut Ozil,38.0,2,01
Dec-13,LaLiga,Early Rounds,10/28/12,Away,Real Madrid,RCD Mallorca,0-05,LW,Right-footed shot,Gonzalo Higuain,22.0,0,05
Dec-13,LaLiga,Early Rounds,10/28/12,Away,Real Madrid,RCD Mallorca,0-05,LW,Right-footed shot,Gonzalo Higuain,73.0,0,05
Dec-13,LaLiga,Early Rounds,11/11/12,Away,Real Madrid,Levante UD,1-02,CF,Right-footed shot,Unknown,20.0,1,02
Dec-13,LaLiga,Early Rounds,12/01/12,Home,Real Madrid,Atletico de Madrid,2-00,LW,Direct free kick,Unknown,16.0,2,00
Dec-13,UEFA Champions League,Group Stage,12/04/12,Home,Real Madrid,Ajax Amsterdam,4-01,LW,Right-footed shot,Karim Benzema,13.0,4,01
Dec-13,Copa del Rey,Last 16,12/12/12,Away,Real Madrid,Celta de Vigo,2-01,LW,Left-footed shot,Xabi Alonso,87.0,2,01
Dec-13,LaLiga,Early Rounds,12/16/12,Home,Real Madrid,RCD Espanyol Barcelona,2-02,CF,Right-footed shot,Sami Khedira,45.0,2,02
Dec-13,LaLiga,Early Rounds,01/06/13,Home,Real Madrid,Real Sociedad,4-03,LW ,Left-footed shot,Karim Benzema,67.0,4,03
Dec-13,LaLiga,Early Rounds,01/06/13,Home,Real Madrid,Real Sociedad,4-03,LW ,Direct free kick,Unknown,70.0,4,03
Dec-13,Copa del Rey,Last 16,01/09/13,Home,Real Madrid,Celta de Vigo,4-00,LW,Right-footed shot,alvaro Arbeloa,2.0,4,00
Dec-13,Copa del Rey,Last 16,01/09/13,Home,Real Madrid,Celta de Vigo,4-00,LW,Left-footed shot,Luka Modric,24.0,4,00
Dec-13,Copa del Rey,Last 16,01/09/13,Home,Real Madrid,Celta de Vigo,4-00,LW,Left-footed shot,Gonzalo Higuain,87.0,4,00
Dec-13,LaLiga,Early Rounds,1/20/13,Away,Real Madrid,Valencia CF,0-05,LW,Left-footed shot,Fabio CoentrÃ£o,35.0,0,05
Dec-13,LaLiga,Early Rounds,1/20/13,Away,Real Madrid,Valencia CF,0-05,LW,Right-footed shot,Mesut Ozil,41.0,0,05
Dec-13,LaLiga,Early Rounds,1/27/13,Home,Real Madrid,Getafe CF,4-00,LW,Left-footed shot,Mesut Ozil,62.0,4,00
Dec-13,LaLiga,Early Rounds,1/27/13,Home,Real Madrid,Getafe CF,4-00,LW,Header,Angel Di Maria,65.0,4,00
Dec-13,LaLiga,Early Rounds,1/27/13,Home,Real Madrid,Getafe CF,4-00,LW,Penalty,Unknown,72.0,4,00
Dec-13,LaLiga,Early Rounds,02/09/13,Home,Real Madrid,Sevilla FC,4-01,LW,Left-footed shot,Kaka,26.0,4,01
Dec-13,LaLiga,Early Rounds,02/09/13,Home,Real Madrid,Sevilla FC,4-01,LW,Left-footed shot,alvaro Arbeloa,46.0,4,01
Dec-13,LaLiga,Early Rounds,02/09/13,Home,Real Madrid,Sevilla FC,4-01,LW,Right-footed shot,Gonzalo Higuain,59.0,4,01
Dec-13,UEFA Champions League,Last 16,2/13/13,Home,Real Madrid,Manchester United,1-01,LW,Header,Angel Di Maria,30.0,1,01
Dec-13,Copa del Rey,Semi-Finals,2/26/13,Away,Real Madrid,FC Barcelona,1-03,LW,Penalty,Unknown,12.0,1,03
Dec-13,Copa del Rey,Semi-Finals,2/26/13,Away,Real Madrid,FC Barcelona,1-03,LW,Left-footed shot,Unknown,57.0,1,03
Dec-13,UEFA Champions League,Last 16,03/05/13,Away,Real Madrid,Manchester United,1-02,LW,Right-footed shot,Gonzalo Higuain,69.0,1,02
Dec-13,LaLiga,Early Rounds,03/10/13,Away,Real Madrid,Celta de Vigo,1-02,LW,Left-footed shot,Jose CallejÃ³n,61.0,1,02
Dec-13,LaLiga,Early Rounds,03/10/13,Away,Real Madrid,Celta de Vigo,1-02,LW,Penalty,Unknown,71.0,1,02
Dec-13,LaLiga,Early Rounds,3/16/13,Home,Real Madrid,RCD Mallorca,5-02,LW,Header,Mesut Ozil,52.0,5,02
Dec-13,LaLiga,Early Rounds,3/30/13,Away,Real Madrid,Real Zaragoza,1-01,LW,Long distance kick,Unknown,38.0,1,01
Dec-13,UEFA Champions League,Quarter-Finals,04/03/13,Home,Real Madrid,Galatasaray,3-00,LW,Left-footed shot,Mesut Ozil,9.0,3,00
Dec-13,LaLiga,Early Rounds,04/06/13,Home,Real Madrid,Levante UD,5-01,CF,Right-footed shot,Gonzalo Higuain,84.0,5,01
Dec-13,UEFA Champions League,Quarter-Finals,04/09/13,Away,Real Madrid,Galatasaray,3-02,LW,Right-footed shot,Sami Khedira,8.0,3,02
Dec-13,UEFA Champions League,Quarter-Finals,04/09/13,Away,Real Madrid,Galatasaray,3-02,LW,Right-footed shot,Karim Benzema,92.0,3,02
Dec-13,LaLiga,Early Rounds,4/14/13,Away,Real Madrid,Athletic Bilbao,0-03,LW,Direct free kick,Unknown,2.0,0,03
Dec-13,LaLiga,Early Rounds,4/14/13,Away,Real Madrid,Athletic Bilbao,0-03,LW,Header,Xabi Alonso,68.0,0,03
Dec-13,UEFA Champions League,Semi-Finals,4/24/13,Away,Real Madrid,Borussia Dortmund,4-01,LW,Right-footed shot,Gonzalo Higuain,43.0,4,01
Dec-13,LaLiga,Early Rounds,05/04/13,Home,Real Madrid,Real Valladolid CF,4-03,LW,Header,Angel Di Maria,32.0,4,03
Dec-13,LaLiga,Early Rounds,05/04/13,Home,Real Madrid,Real Valladolid CF,4-03,LW,Header,Mesut Ozil,70.0,4,03
Dec-13,LaLiga,Early Rounds,05/08/13,Home,Real Madrid,Malaga CF,6-02,LW ,Right-footed shot,Xabi Alonso,26.0,6,02
Dec-13,Copa del Rey,Final,5/17/13,Away,Real Madrid,Atletico de Madrid,2-1 AET,LW,Header,Luka Modric,14.0,2,1 AET
13/14,LaLiga,Early Rounds,09/01/13,Home,Real Madrid,Athletic Bilbao,3-01,LW,Header,Angel Di Maria,45.0,3,01
13/14,LaLiga,Early Rounds,9/14/13,Away,Real Madrid,Villarreal CF,2-02,LW,Right-footed shot,Unknown,64.0,2,02
13/14,UEFA Champions League,Group Stage,9/17/13,Away,Real Madrid,Galatasaray,1-06,LW,Left-footed shot,Isco,63.0,1,06
13/14,UEFA Champions League,Group Stage,9/17/13,Away,Real Madrid,Galatasaray,1-06,LW,Tap-in,Sergio Ramos,66.0,1,06
13/14,UEFA Champions League,Group Stage,9/17/13,Away,Real Madrid,Galatasaray,1-06,LW,Left-footed shot,Karim Benzema,90.0,1,06
13/14,LaLiga,Early Rounds,9/22/13,Home,Real Madrid,Getafe CF,4-01,LW,Penalty,Unknown,34.0,4,01
13/14,LaLiga,Early Rounds,9/22/13,Home,Real Madrid,Getafe CF,4-01,LW,Right-footed shot,Sami Khedira,90.0,4,01
13/14,LaLiga,Early Rounds,9/25/13,Away,Real Madrid,Elche CF,1-02,LW,Direct free kick,Unknown,51.0,1,02
13/14,LaLiga,Early Rounds,9/25/13,Away,Real Madrid,Elche CF,1-02,LW,Penalty,Unknown,96.0,1,02
13/14,UEFA Champions League,Group Stage,10/02/13,Home,Real Madrid,FC Copenhagen,4-00,LW,Header,Marcelo,21.0,4,00
13/14,UEFA Champions League,Group Stage,10/02/13,Home,Real Madrid,FC Copenhagen,4-00,LW,Header,Angel Di Maria,65.0,4,00
13/14,LaLiga,Early Rounds,10/05/13,Away,Real Madrid,Levante UD,2-03,LW,Right-footed shot,Luka Modric,94.0,2,03
13/14,LaLiga,Early Rounds,10/19/13,Home,Real Madrid,Malaga CF,2-00,LW,Penalty,Unknown,91.0,2,00
13/14,UEFA Champions League,Group Stage,10/23/13,Home,Real Madrid,Juventus FC,2-01,LW,Right-footed shot,Angel Di Maria,4.0,2,01
13/14,UEFA Champions League,Group Stage,10/23/13,Home,Real Madrid,Juventus FC,2-01,LW,Penalty,Unknown,29.0,2,01
13/14,LaLiga,Early Rounds,10/30/13,Home,Real Madrid,Sevilla FC,7-03,LW,Penalty,Unknown,31.0,7,03
13/14,LaLiga,Early Rounds,10/30/13,Home,Real Madrid,Sevilla FC,7-03,LW,Right-footed shot,Gareth Bale,60.0,7,03
13/14,LaLiga,Early Rounds,10/30/13,Home,Real Madrid,Sevilla FC,7-03,LW,Right-footed shot,Karim Benzema,71.0,7,03
13/14,LaLiga,Early Rounds,11/02/13,Away,Real Madrid,Rayo Vallecano,2-03,LW,Right-footed shot,Luka Modric,3.0,2,03
13/14,LaLiga,Early Rounds,11/02/13,Away,Real Madrid,Rayo Vallecano,2-03,LW,Right-footed shot,Gareth Bale,48.0,2,03
13/14,UEFA Champions League,Group Stage,11/05/13,Away,Real Madrid,Juventus FC,2-02,LW,Right-footed shot,Karim Benzema,52.0,2,02
13/14,LaLiga,Early Rounds,11/09/13,Home,Real Madrid,Real Sociedad,5-01,LW,Right-footed shot,Karim Benzema,12.0,5,01
13/14,LaLiga,Early Rounds,11/09/13,Home,Real Madrid,Real Sociedad,5-01,LW,Penalty,Unknown,27.0,5,01
13/14,LaLiga,Early Rounds,11/09/13,Home,Real Madrid,Real Sociedad,5-01,LW,Direct free kick,Unknown,76.0,5,01
13/14,LaLiga,Early Rounds,11/23/13,Away,Real Madrid,UD Almeria,0-05,LW,Left-footed shot,Isco,3.0,0,05
13/14,UEFA Champions League,Group Stage,12/10/13,Away,Real Madrid,FC Copenhagen,0-02,LW,Right-footed shot,Pepe,48.0,0,02
13/14,LaLiga,Early Rounds,12/22/13,Away,Real Madrid,Valencia CF,2-03,LW,Header,Angel Di Maria,40.0,2,03
13/14,LaLiga,Early Rounds,01/06/14,Home,Real Madrid,Celta de Vigo,3-00,LW,Right-footed shot,Daniel Carvajal,82.0,3,00
13/14,LaLiga,Early Rounds,01/06/14,Home,Real Madrid,Celta de Vigo,3-00,LW,Right-footed shot,Gareth Bale,90.0,3,00
13/14,Copa del Rey,Last 16,1/15/14,Away,Real Madrid,CA Osasuna,0-02,LW,Direct free kick,Unknown,22.0,0,02
13/14,LaLiga,Early Rounds,1/18/14,Away,Real Madrid,Real Betis Balompie,0-05,LW,Right-footed shot,Angel Di Maria,10.0,0,05
13/14,LaLiga,Early Rounds,1/25/14,Home,Real Madrid,Granada CF,2-00,LW,Right-footed shot,Luka Modric,57.0,2,00
13/14,Copa del Rey,Semi-Finals,02/11/14,Away,Real Madrid,Atletico de Madrid,0-02,LW,Penalty,Unknown,6.0,0,02
13/14,Copa del Rey,Semi-Finals,02/11/14,Away,Real Madrid,Atletico de Madrid,0-02,LW,Penalty,Unknown,15.0,0,02
13/14,UEFA Champions League,Last 16,2/26/14,Away,Real Madrid,FC Schalke 04,1-06,LW,Left-footed shot,Gareth Bale,52.0,1,06
13/14,UEFA Champions League,Last 16,2/26/14,Away,Real Madrid,FC Schalke 04,1-06,LW,Right-footed shot,Karim Benzema,89.0,1,06
13/14,LaLiga,Early Rounds,03/02/14,Away,Real Madrid,Atletico de Madrid,2-02,LW,Right-footed shot,Gareth Bale,82.0,2,02
13/14,LaLiga,Early Rounds,03/09/14,Home,Real Madrid,Levante UD,3-00,LW,Header,Angel Di Maria,11.0,3,00
13/14,LaLiga,Early Rounds,3/15/14,Away,Real Madrid,Malaga CF,0-01,LW,Right-footed shot,Gareth Bale,23.0,0,01
13/14,UEFA Champions League,Last 16,3/18/14,Home,Real Madrid,FC Schalke 04,3-01,LW,Right-footed shot,Gareth Bale,22.0,3,01
13/14,UEFA Champions League,Last 16,3/18/14,Home,Real Madrid,FC Schalke 04,3-01,LW,Right-footed shot,Unknown,74.0,3,01
13/14,LaLiga,Early Rounds,3/23/14,Home,Real Madrid,FC Barcelona,3-04,LW,Penalty,Unknown,55.0,3,04
13/14,LaLiga,Early Rounds,3/26/14,Away,Real Madrid,Sevilla FC,2-01,LW,Direct free kick,Unknown,14.0,2,01
13/14,LaLiga,Early Rounds,3/29/14,Home,Real Madrid,Rayo Vallecano,5-00,LW,Right-footed shot,Gareth Bale,15.0,5,00
13/14,UEFA Champions League,Quarter-Finals,04/02/14,Home,Real Madrid,Borussia Dortmund,3-00,LW,Left-footed shot,Luka Modric,57.0,3,00
13/14,LaLiga,Early Rounds,4/26/14,Home,Real Madrid,CA Osasuna,4-00,LW,Long distance kick,Angel Di Maria,6.0,4,00
13/14,LaLiga,Early Rounds,4/26/14,Home,Real Madrid,CA Osasuna,4-00,LW,Long distance kick,Isco,52.0,4,00
13/14,UEFA Champions League,Semi-Finals,4/29/14,Away,Real Madrid,Bayern Munich,0-04,LW,Counter attack goal,Gareth Bale,34.0,0,04
13/14,UEFA Champions League,Semi-Finals,4/29/14,Away,Real Madrid,Bayern Munich,0-04,LW,Direct free kick,Unknown,90.0,0,04
13/14,LaLiga,Early Rounds,05/04/14,Home,Real Madrid,Valencia CF,2-02,LW,Right-footed shot,Angel Di Maria,90.0,2,02
13/14,UEFA Champions League,Final,5/24/14,Home,Real Madrid,Atletico de Madrid,4-1 AET,LW,Penalty,Unknown,120.0,4,1 AET
14/15,UEFA Super Cup,Final,08/12/14,Home,Real Madrid,Sevilla FC,2-00,LW,Right-footed shot,Gareth Bale,30.0,2,00
14/15,UEFA Super Cup,Final,08/12/14,Home,Real Madrid,Sevilla FC,2-00,LW,Left-footed shot,Karim Benzema,49.0,2,00
14/15,LaLiga,Early Rounds,8/25/14,Home,Real Madrid,CÃ³rdoba CF,2-00,LW,Right-footed shot,Isco,90.0,2,00
14/15,LaLiga,Early Rounds,9/13/14,Home,Real Madrid,Atletico de Madrid,1-02,LW,Penalty,Unknown,25.0,1,02
14/15,UEFA Champions League,Group Stage,9/16/14,Home,Real Madrid,FC Basel 1893,5-01,LW,Right-footed shot,Gareth Bale,31.0,5,01
14/15,LaLiga,Early Rounds,9/20/14,Away,Real Madrid,Deportivo de La CoruÃ±a,2-08,RW,Header,alvaro Arbeloa,29.0,2,08
14/15,LaLiga,Early Rounds,9/20/14,Away,Real Madrid,Deportivo de La CoruÃ±a,2-08,RW,Left-footed shot,Karim Benzema,41.0,2,08
14/15,LaLiga,Early Rounds,9/20/14,Away,Real Madrid,Deportivo de La CoruÃ±a,2-08,RW,Left-footed shot,James Rodriguez,78.0,2,08
14/15,LaLiga,Early Rounds,9/23/14,Home,Real Madrid,Elche CF,5-01,CF,Penalty,Unknown,28.0,5,01
14/15,LaLiga,Early Rounds,9/23/14,Home,Real Madrid,Elche CF,5-01,CF,Header,Marcelo,32.0,5,01
14/15,LaLiga,Early Rounds,9/23/14,Home,Real Madrid,Elche CF,5-01,CF,Penalty,Unknown,80.0,5,01
14/15,LaLiga,Early Rounds,9/23/14,Home,Real Madrid,Elche CF,5-01,CF,Right-footed shot,Gareth Bale,90.0,5,01
14/15,LaLiga,Early Rounds,9/27/14,Away,Real Madrid,Villarreal CF,0-02,CF,Right-footed shot,Karim Benzema,40.0,0,02
14/15,UEFA Champions League,Group Stage,10/01/14,Away,Real Madrid,Ludogorets Razgrad,1-02,CF,Penalty,Unknown,25.0,1,02
14/15,LaLiga,Early Rounds,10/05/14,Home,Real Madrid,Athletic Bilbao,5-00,LW,Header,Gareth Bale,3.0,5,00
14/15,LaLiga,Early Rounds,10/05/14,Home,Real Madrid,Athletic Bilbao,5-00,LW,Right-footed shot,Gareth Bale,55.0,5,00
